isolate	scheme	ST	adk	fumC	gyrB	icd	mdh	purA	recA
GCF_000227625.1_ASM22762v1	ecoli_achtman_4	62	adk(28)	fumC(33)	gyrB(25)	icd(29)	mdh(7)	purA(11)	recA(24)
GCF_000233875.1_ASM23387v1	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_000233895.1_ASM23389v1	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_000245515.1_ASM24551v1	ecoli_achtman_4	335	adk(29)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000258025.1_ASM25802v1	ecoli_achtman_4	1079	adk(6)	fumC(19)	gyrB(14)	icd(16)	mdh(11)	purA(12)	recA(2)
GCF_000258145.1_ASM25814v1	ecoli_achtman_4	1079	adk(6)	fumC(19)	gyrB(14)	icd(16)	mdh(11)	purA(12)	recA(2)
GCF_000262125.1_ASM26212v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000269645.1_PB_Esch_coli_MG12655_V1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000270105.1_ASM27010v1	ecoli_achtman_4	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_000273425.1_Esch_coli_MG12655_V1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000284495.1_ASM28449v1	ecoli_achtman_4	135	adk(13)	fumC(39)	gyrB(50)	icd(13)	mdh(16)	purA(37)	recA(25)
GCF_000285655.3_EC958.v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_000299255.1_ASM29925v1	ecoli_achtman_4	678	adk(6)	fumC(6)	gyrB(5)	icd(136)	mdh(9)	purA(7)	recA(7)
GCF_000299455.1_ASM29945v1	ecoli_achtman_4	678	adk(6)	fumC(6)	gyrB(5)	icd(136)	mdh(9)	purA(7)	recA(7)
GCF_000299475.1_ASM29947v1	ecoli_achtman_4	678	adk(6)	fumC(6)	gyrB(5)	icd(136)	mdh(9)	purA(7)	recA(7)
GCF_000332755.1_ASM33275v1	ecoli_achtman_4	23	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(13)	recA(7)
GCF_000464955.2_ASM46495v2	ecoli_achtman_4	672	adk(6)	fumC(4)	gyrB(126)	icd(136)	mdh(11)	purA(8)	recA(6)
GCF_000468515.1_ASM46851v1	ecoli_achtman_4	1079	adk(6)	fumC(19)	gyrB(14)	icd(16)	mdh(11)	purA(12)	recA(2)
GCF_000493595.2_EcoPMV1	ecoli_achtman_4	6134	adk(37)	fumC(38)	gyrB(521)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_000493755.1_ASM49375v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_000499485.1_MYMC4100	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000520035.1_ASM52003v1	ecoli_achtman_4	32	adk(19)	fumC(23)	gyrB(18)	icd(24)	mdh(21)	purA(2)	recA(16)
GCF_000520055.1_ASM52005v1	ecoli_achtman_4	6130	adk(19)	fumC(23)	gyrB(51)	icd(24)	mdh(21)	purA(5)	recA(16)
GCF_000597845.1_ASM59784v1	ecoli_achtman_4	540	adk(6)	fumC(7)	gyrB(57)	icd(1)	mdh(8)	purA(8)	recA(2)
GCF_000599625.1_ASM59962v1	ecoli_achtman_4	540	adk(6)	fumC(7)	gyrB(57)	icd(1)	mdh(8)	purA(8)	recA(2)
GCF_000599645.1_ASM59964v1	ecoli_achtman_4	540	adk(6)	fumC(7)	gyrB(57)	icd(1)	mdh(8)	purA(8)	recA(2)
GCF_000599665.1_ASM59966v1	ecoli_achtman_4	6131	adk(261)	fumC(160)	gyrB(2)	icd(63)	mdh(5)	purA(5)	recA(4)
GCF_000599685.1_ASM59968v1	ecoli_achtman_4	6131	adk(261)	fumC(160)	gyrB(2)	icd(63)	mdh(5)	purA(5)	recA(4)
GCF_000599705.1_ASM59970v1	ecoli_achtman_4	6131	adk(261)	fumC(160)	gyrB(2)	icd(63)	mdh(5)	purA(5)	recA(4)
GCF_000618005.3_ASM61800v3	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000618905.3_ASM61890v3	ecoli_achtman_4	381	adk(6)	fumC(4)	gyrB(12)	icd(92)	mdh(24)	purA(18)	recA(7)
GCF_000662395.1_ASM66239v1	ecoli_achtman_4	6130	adk(19)	fumC(23)	gyrB(51)	icd(24)	mdh(21)	purA(5)	recA(16)
GCF_000671295.1_ASM67129v1	ecoli_achtman_4	32	adk(19)	fumC(23)	gyrB(18)	icd(24)	mdh(21)	purA(2)	recA(16)
GCF_000714595.1_ASM71459v1	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_000725305.1_ASM72530v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000730345.1_ASM73034v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000732965.1_ASM73296v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000743255.1_ASM74325v1	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_000750555.1_ASM75055v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000784925.1_ASM78492v1	ecoli_achtman_4	648	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
GCF_000800215.1_ASM80021v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000800765.1_ASM80076v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000801165.1_ASM80116v1	ecoli_achtman_4	2773	adk(6)	fumC(6)	gyrB(3)	icd(26)	mdh(9)	purA(8)	recA(2)
GCF_000801185.2_ASM80118v2	ecoli_achtman_4	672	adk(6)	fumC(4)	gyrB(126)	icd(136)	mdh(11)	purA(8)	recA(6)
GCF_000801205.1_ASM80120v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000803705.1_ASM80370v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000813165.1_ASM81316v1	ecoli_achtman_4	-	adk(55)	fumC(2157?)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_000814145.2_ASM81414v2	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000819645.1_ASM81964v1	ecoli_achtman_4	88	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(12)	recA(7)
GCF_000827105.1_ASM82710v1	ecoli_achtman_4	1011	adk(6)	fumC(4)	gyrB(159)	icd(44)	mdh(112)	purA(1)	recA(17)
GCF_000829985.1_ASM82998v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000830035.1_ASM83003v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_000831565.1_ASM83156v1	ecoli_achtman_4	847	adk(6)	fumC(6)	gyrB(5)	icd(26)	mdh(9)	purA(13)	recA(98)
GCF_000833145.1_ASM83314v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_000833635.2_ASM83363v2	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000931565.1_ASM93156v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_000952955.1_EcRV308Chr	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000953515.1_EcHMS174Chr	ecoli_achtman_4	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_000967155.2_HUSEC2011CHR1	ecoli_achtman_4	678	adk(6)	fumC(6)	gyrB(5)	icd(136)	mdh(9)	purA(7)	recA(7)
GCF_000968515.1_ASM96851v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000971615.1_ASM97161v1	ecoli_achtman_4	5082	adk(6)	fumC(4)	gyrB(3)	icd(18)	mdh(11)	purA(8)	recA(2)
GCF_000974405.1_ASM97440v1	ecoli_achtman_4	-	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(-)
GCF_000974465.1_ASM97446v1	ecoli_achtman_4	-	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(-)
GCF_000974505.1_ASM97450v1	ecoli_achtman_4	-	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(-)
GCF_000974535.1_ASM97453v1	ecoli_achtman_4	-	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(-)
GCF_000974575.1_ASM97457v1	ecoli_achtman_4	-	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(-)
GCF_000974825.1_ASM97482v1	ecoli_achtman_4	-	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(-)
GCF_000974865.1_ASM97486v1	ecoli_achtman_4	-	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(-)
GCF_000974885.1_ASM97488v1	ecoli_achtman_4	-	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(-)
GCF_000978815.2_ASM97881v2	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000978845.2_ASM97884v2	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000981485.1_EcoliK12AG100	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000986765.1_ASM98676v1	ecoli_achtman_4	678	adk(6)	fumC(6)	gyrB(5)	icd(136)	mdh(9)	purA(7)	recA(7)
GCF_000987875.1_ASM98787v1	ecoli_achtman_4	48	adk(6)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000988355.1_ASM98835v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000988385.1_ASM98838v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000988425.1_ASM98842v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000988465.1_ASM98846v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_001007915.1_ASM100791v1	ecoli_achtman_4	99	adk(6)	fumC(4)	gyrB(22)	icd(18)	mdh(9)	purA(26)	recA(7)
GCF_001020945.2_ASM102094v2	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_001021005.2_ASM102100v2	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_001021595.1_ASM102159v1	ecoli_achtman_4	416	adk(37)	fumC(110)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_001021615.1_APECO18	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_001021635.2_ASM102163v2	ecoli_achtman_4	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
GCF_001029125.1_ASM102912v1	ecoli_achtman_4	46	adk(8)	fumC(7)	gyrB(1)	icd(8)	mdh(8)	purA(8)	recA(6)
GCF_001039415.1_ASM103941v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_001043215.1_ASM104321v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_001051135.1_ASM105113v1	ecoli_achtman_4	23	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(13)	recA(7)
GCF_001183645.1_ASM118364v1	ecoli_achtman_4	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_001183665.1_ASM118366v1	ecoli_achtman_4	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_001183685.1_ASM118368v1	ecoli_achtman_4	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_001276585.2_ASM127658v2	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_001280325.1_ASM128032v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_001280345.1_ASM128034v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_001280385.1_ASM128038v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_001280405.1_ASM128040v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_001307215.1_ASM130721v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_001308065.1_ASM130806v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_001308125.1_ASM130812v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_001308165.1_ASM130816v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_001420935.1_ASM142093v1	ecoli_achtman_4	119	adk(48)	fumC(46)	gyrB(43)	icd(45)	mdh(11)	purA(34)	recA(35)
GCF_001420955.1_ASM142095v1	ecoli_achtman_4	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
GCF_001442495.1_ASM144249v1	ecoli_achtman_4	410	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
GCF_001469815.1_ASM146981v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_001485455.1_ASM148545v1	ecoli_achtman_4	648	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
GCF_001513615.1_ASM151361v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_001513635.1_ASM151363v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_001515725.1_ASM151572v1	ecoli_achtman_4	23	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(13)	recA(7)
GCF_001544635.1_ASM154463v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_001558995.2_ASM155899v2	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_001559615.2_ASM155961v2	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_001559635.1_ASM155963v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_001559655.1_ASM155965v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_001559675.1_ASM155967v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_001566335.1_ASM156633v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_001566615.1_ASM156661v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_001566635.1_ASM156663v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_001566675.1_ASM156667v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_001577325.1_ASM157732v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_001593565.1_ASM159356v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_001610755.1_ASM161075v1	ecoli_achtman_4	167	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
GCF_001612475.1_ASM161247v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_001612495.1_ASM161249v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_001617565.1_ASM161756v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_001618325.1_ASM161832v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_001618345.2_ASM161834v2	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_001618365.1_ASM161836v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_001644725.1_ASM164472v1	ecoli_achtman_4	1727	adk(6)	fumC(19)	gyrB(3)	icd(16)	mdh(11)	purA(8)	recA(6)
GCF_001644745.1_ASM164474v1	ecoli_achtman_4	335	adk(29)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_001645235.2_ASM164523v2	ecoli_achtman_4	17	adk(6)	fumC(4)	gyrB(3)	icd(17)	mdh(7)	purA(7)	recA(6)
GCF_001650275.1_ASM165027v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_001650295.1_ASM165029v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_001651925.2_ASM165192v2	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_001651945.2_ASM165194v2	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_001651965.2_ASM165196v2	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_001660565.1_ASM166056v1	ecoli_achtman_4	7060	adk(6)	fumC(4)	gyrB(5)	icd(16)	mdh(24)	purA(1)	recA(14)
GCF_001660585.1_ASM166058v1	ecoli_achtman_4	998	adk(13)	fumC(52)	gyrB(156)	icd(14)	mdh(17)	purA(25)	recA(17)
GCF_001663075.1_ASM166307v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
