Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
GCF_000013305.1_ASM1330v1_genomic	-	O6	H31	O6:H31	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H31-2-fliC-origin;	100;100;100;	100;100;100;	NC_008253.1;NC_008253.1;NC_008253.1;	2149283-2150539;2147940-2149283;1904774-1906441;	1257;1344;1668;	v1.0 (11-03-2020)	-
GCF_000014845.1_ASM1484v1_genomic	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-5-wzx;O1-6-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	NC_008563.1;NC_008563.1;NC_008563.1;	2195479-2196705;2192209-2193213;2007082-2008839;	1227;1005;1758;	v1.0 (11-03-2020)	-
GCF_000017745.1_ASM1774v1_genomic	-	-	H28	-:H28	-	Based on 1 allele(s)	fliC:1;	H28-2-fliC-origin;	99.885;	100;	NC_009801.1;	2128928-2130667;	1740;	v1.0 (11-03-2020)	-
GCF_000017765.1_ASM1776v1_genomic	-	O9	H4	O9:H4	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O9-10-wzm-origin;O9-8-wzt-origin;H4-15-fliC;	100;100;100;	100;100;100;	NC_009800.1;NC_009800.1;NC_009800.1;	2151410-2152195;2150112-2151407;2021579-2022628;	786;1296;1050;	v1.0 (11-03-2020)	-
GCF_000017985.1_ASM1798v1_genomic	-	O7	-	O7:-	-	Based on 2 allele(s)	wzx:1;wzy:1;	O7-14-wzx;O7-39-wzy;	100;100;	100;100;	NC_012967.1;NC_012967.1;	2041386-2042817;2036955-2037681;	1432;727;	v1.0 (11-03-2020)	-
GCF_000019385.1_ASM1938v1_genomic	-	O146	H20	O146:H20	-	Based on 3 allele(s)	wzx:0.994;wzy:0.997;fliC:0.98;	O146-1-wzx-origin;O146-2-wzy-origin;H20-4-fliC;	99.35;99.661;97.866;	100;100;100;	NC_010468.1;NC_010468.1;NC_010468.1;	1786050-1787588;1789951-1791129;1912864-1914582;	1539;1179;1734;	v1.0 (11-03-2020)	-
GCF_000019425.1_ASM1942v1_genomic	-	O16	H48	O16:H48	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;	100;100;99.866;	100;100;100;	NC_010473.1;NC_010473.1;NC_010473.1;	2197369-2198616;2195092-2196258;2091142-2092638;	1248;1167;1497;	v1.0 (11-03-2020)	-
GCF_000019645.1_ASM1964v1_genomic	-	O153	H34	O153:H34	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O153-3-wzx-origin;O153-4-wzy-origin;H34-5-fliC;	100;100;100;	100;100;100;	NC_010498.1;NC_010498.1;NC_010498.1;	1049057-1050235;1046922-1048100;1255771-1257408;	1179;1179;1638;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
GCF_000021125.1_ASM2112v1_genomic	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	NC_011353.1;NC_011353.1;NC_011353.1;	2748053-2749444;2750146-2751312;2531990-2533747;	1392;1167;1758;	v1.0 (11-03-2020)	-
GCF_000022225.1_ASM2222v1_genomic	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	NC_013008.1;NC_013008.1;NC_013008.1;	2747034-2748425;2749127-2750293;2530971-2532728;	1392;1167;1758;	v1.0 (11-03-2020)	-
GCF_000022345.1_ASM2234v1_genomic	-	O16	H48	O16:H48	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;	100;100;100;	100;100;100;	NC_012759.1;NC_012759.1;NC_012759.1;	1998844-2000091;1996567-1997733;1892617-1894113;	1248;1167;1497;	v1.0 (11-03-2020)	-
GCF_000022665.1_ASM2266v1_genomic	-	O7	-	O7:-	-	Based on 2 allele(s)	wzx:1;wzy:1;	O7-2-wzx-origin;O7-39-wzy;	100;100;	100;100;	NC_012971.2;NC_012971.2;	2007194-2008618;2002756-2003482;	1425;727;	v1.0 (11-03-2020)	-
GCF_000023365.1_ASM2336v1_genomic	-	O16	H48	O16:H48	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;	100;100;100;	100;100;100;	NC_017625.1;NC_017625.1;NC_017625.1;	1768471-1769718;1770829-1771995;1874449-1875945;	1248;1167;1497;	v1.0 (11-03-2020)	-
GCF_000023665.1_ASM2366v1_genomic	-	O7	H48	O7:H48	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O7-2-wzx-origin;O7-39-wzy;H48-1-fliC-origin;	100;100;100;	100;100;100;	NC_012947.1;NC_012947.1;NC_012947.1;	1731190-1732614;1736326-1737052;1833731-1835227;	1425;727;1497;	v1.0 (11-03-2020)	-
GCF_000025165.1_ASM2516v1_genomic	-	O55	H7	O55:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O55-1-wzx-origin;O55-4-wzy-origin;H7-1-fliC-origin;	100;100;100;	100;100;100;	NC_013941.1;NC_013941.1;NC_013941.1;	2558943-2560220;2560238-2561215;2394220-2395977;	1278;978;1758;	v1.0 (11-03-2020)	-
GCF_000025745.1_ASM2574v1_genomic	-	O18	H7	O18:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O18-6-wzx;O18-11-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	NC_017628.1;NC_017628.1;NC_017628.1;	2323572-2324819;2322325-2323513;2062101-2063858;	1248;1189;1758;	v1.0 (11-03-2020)	-
GCF_000026245.1_ASM2624v1_genomic	-	O104	H4	O104:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O104-8-wzx;O104-13-wzy;H4-2-fliC-origin;	99.923;100;100;	100;100;100;	NC_011748.1;NC_011748.1;NC_011748.1;	2333246-2334541;2335752-2336864;2187878-2188927;	1296;1113;1050;	v1.0 (11-03-2020)	-
GCF_000026265.1_ASM2626v1_genomic	-	O8	H19	O8:H19	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-16-wzm;O8-32-wzt;H19-4-fliC;	100;100;99.945;	100;100;100;	NC_011741.1;NC_011741.1;NC_011741.1;	2155947-2156741;2154733-2155947;2065238-2067069;	795;1215;1832;	v1.0 (11-03-2020)	-
GCF_000026285.1_ASM2628v2_genomic	-	O45	H7	O45:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O45-2-wzx-origin;O45-5-wzy-origin;H7-3-fliC-origin;	100;100;100;	100;100;100;	NC_011742.1;NC_011742.1;NC_011742.1;	2105113-2106375;2103065-2104156;1954290-1956047;	1263;1092;1758;	v1.0 (11-03-2020)	-
GCF_000026345.1_ASM2634v1_genomic	-	O7	H45	O7:H45	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.99;	O7-7-wzx;O7-39-wzy;H45-5-fliC;	100;100;99.414;	100;100;100;	NC_011750.1;NC_011750.1;NC_011750.1;	1045288-1046718;1050423-1051149;1203228-1204934;	1431;727;1707;	v1.0 (11-03-2020)	-
GCF_000026545.1_ASM2654v1_genomic	-	O127	H6	O127:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O127-2-wzx-origin;O127-5-wzy-origin;H6-2-fliC-origin;	100;100;99.939;	100;100;100;	NC_011601.1;NC_011601.1;NC_011601.1;	2223395-2224666;2221571-2222737;2099620-2101266;	1272;1167;1647;	v1.0 (11-03-2020)	High similarity O-antigen group 4:O90/O127 as per A.Iguchi et.al (PMID: 25428893)
GCF_000027125.1_ASM2712v1_genomic	-	O44/O17/O77/O106/O73	H18	O44/O17/O77/O106/O73:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O44-1-wzx-origin;O44-1-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	NC_017626.1;NC_017626.1;NC_017626.1;	2367296-2368531;2368573-2369904;2174245-2175909;	1236;1332;1665;	v1.0 (11-03-2020)	High similarity O-antigen group 9:O17/O44/O73/O77/O106 as per A.Iguchi et.al (PMID: 25428893)
GCF_000091005.1_ASM9100v1_genomic	-	O26	H11	O26:H11	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O26-1-wzx-origin;O26-2-wzy-origin;H11-4-fliC;	100;100;100;	100;100;100;	NC_013361.1;NC_013361.1;NC_013361.1;	2861987-2863249;2860899-2861921;2715723-2717181;	1263;1023;1459;	v1.0 (11-03-2020)	-
GCF_000148365.1_ASM14836v1_genomic	-	O25	H1	O25:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O25-3-wzx;O25-5-wzy;H1-1-fliC-origin;	100;100;100;	100;100;100;	NC_017631.1;NC_017631.1;NC_017631.1;	2372093-2373353;2368874-2369936;2149407-2151194;	1261;1063;1788;	v1.0 (11-03-2020)	-
GCF_000148605.1_ASM14860v1_genomic	-	O18	H7	O18:H7	-	Based on 3 allele(s)	wzx:0.999;wzy:0.998;fliC:1;	O18-6-wzx;O18-11-wzy;H7-3-fliC-origin;	99.92;99.832;100;	100;100;100;	NC_017632.1;NC_017632.1;NC_017632.1;	1395753-1396999;1397058-1398245;1615677-1617434;	1248;1189;1758;	v1.0 (11-03-2020)	-
GCF_000167875.2_ASM16787v2_genomic	-	O111	H9	O111:H9	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O111-14-wzx;O111-4-wzy-origin;H9-5-fliC;	99.921;100;100;	100;100;100;	NZ_CP035751.1;NZ_CP035751.1;NZ_CP035751.1;	2768583-2769848;2767541-2768593;2567023-2569035;	1266;1053;2013;	v1.0 (11-03-2020)	-
GCF_000183345.1_ASM18334v1_genomic	-	O83	H1	O83:H1	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O83-1-wzx-origin;O83-2-wzy-origin;H1-1-fliC-origin;	99.931;100;100;	100;100;100;	NC_017634.1;NC_017634.1;NC_017634.1;	2134492-2135934;2133260-2134495;1970830-1972617;	1443;1236;1788;	v1.0 (11-03-2020)	-
GCF_000184185.1_ASM18418v1_genomic	-	O6	H49	O6:H49	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-15-wzx;O6-5-wzy-origin;H49-3-fliC;	100;100;100;	100;100;100;	NC_017635.1;NC_017635.1;NC_017635.1;	2249534-2250790;2248191-2249534;2150747-2152441;	1257;1344;1695;	v1.0 (11-03-2020)	-
GCF_000210475.1_ASM21047v1_genomic	-	O78	H11	O78:H11	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O78-3-wzx;O78-6-wzy;H11-4-fliC;	100;100;100;	100;100;100;	NC_017633.1;NC_017633.1;NC_017633.1;	2335005-2336420;2339147-2340268;2180572-2182030;	1416;1122;1459;	v1.0 (11-03-2020)	-
GCF_000212715.2_ASM21271v2_genomic	-	O149	H10	O149:H10	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O149-1-wzx-origin;O149-2-wzy-origin;H10-20-fliC;	99.916;100;99.921;	100;100;100;	NC_017641.1;NC_017641.1;NC_017641.1;	2459606-2460789;2457691-2458755;2307083-2308345;	1185;1065;1263;	v1.0 (11-03-2020)	-
GCF_000219515.2_ASM21951v3_genomic	-	O11	H15	O11:H15	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O11-3-wzx;O11-6-wzy;H15-1-fliC-origin;	100;100;100;	100;100;100;	NZ_CP006632.1;NZ_CP006632.1;NZ_CP006632.1;	2220184-2221419;2218218-2219453;2110027-2111715;	1236;1236;1689;	v1.0 (11-03-2020)	-
GCF_000220005.1_ASM22000v2_genomic	-	O147	H4	O147:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O147-1-wzx-origin;O147-2-wzy-origin;H4-21-fliC;	100;100;100;	100;100;100;	NZ_AGTD01000001.1;NZ_AGTD01000001.1;NZ_AGTD01000001.1;	2452771-2454003;2451528-2452715;2327650-2328699;	1233;1188;1050;	v1.0 (11-03-2020)	-
GCF_000227625.1_ASM22762v1_genomic	-	O7	H45	O7:H45	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.99;	O7-7-wzx;O7-35-wzy;H45-5-fliC;	100;100;99.356;	100;100;100;	NC_017646.1;NC_017646.1;NC_017646.1;	2372584-2374014;2368154-2369328;2219051-2220757;	1431;1175;1707;	v1.0 (11-03-2020)	-
GCF_000233875.1_ASM23387v1_genomic	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	100;100;100;	100;100;100;	NC_017651.1;NC_017651.1;NC_017651.1;	2337633-2338889;2336290-2337633;2093233-2095020;	1257;1344;1788;	v1.0 (11-03-2020)	-
GCF_000233895.1_ASM23389v1_genomic	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	100;100;100;	100;100;100;	NC_017652.1;NC_017652.1;NC_017652.1;	2337633-2338889;2336290-2337633;2093233-2095020;	1257;1344;1788;	v1.0 (11-03-2020)	-
GCF_000245515.1_ASM24551v1_genomic	-	O55	H7	O55:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O55-1-wzx-origin;O55-4-wzy-origin;H7-1-fliC-origin;	100;100;100;	100;100;100;	NC_017656.1;NC_017656.1;NC_017656.1;	2517965-2519242;2519260-2520237;2353106-2354863;	1278;978;1758;	v1.0 (11-03-2020)	-
GCF_000258025.1_ASM25802v1_genomic	-	O6	H49	O6:H49	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-15-wzx;O6-5-wzy-origin;H49-3-fliC;	100;100;100;	100;100;100;	NC_017660.1;NC_017660.1;NC_017660.1;	2705390-2706646;2706646-2707989;2805076-2806770;	1257;1344;1695;	v1.0 (11-03-2020)	-
GCF_000258145.1_ASM25814v1_genomic	-	O6	H49	O6:H49	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-15-wzx;O6-5-wzy-origin;H49-3-fliC;	100;100;100;	100;100;100;	NC_017664.1;NC_017664.1;NC_017664.1;	2246110-2247366;2244767-2246110;2147323-2149017;	1257;1344;1695;	v1.0 (11-03-2020)	-
GCF_000262125.1_ASM26212v1_genomic	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	NC_017906.1;NC_017906.1;NC_017906.1;	2712934-2714325;2715027-2716193;2554089-2555846;	1392;1167;1758;	v1.0 (11-03-2020)	-
GCF_000269645.1_PB_Esch_coli_MG12655_V1_genomic	-	O16	H48	O16:H48	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;	100;100;100;	100;100;100;	NZ_AKBV01000001.1;NZ_AKBV01000001.1;NZ_AKBV01000001.1;	1877732-1878979;1875455-1876621;1771505-1773001;	1248;1167;1497;	v1.0 (11-03-2020)	-
GCF_000270105.1_ASM27010v1_genomic	-	O16	H48	O16:H48	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;	100;100;100;	100;100;100;	NC_017638.1;NC_017638.1;NC_017638.1;	2092140-2093387;2089863-2091029;1985913-1987409;	1248;1167;1497;	v1.0 (11-03-2020)	-
GCF_000273425.1_Esch_coli_MG12655_V1_genomic	-	O16	H48	O16:H48	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;	100;100;100;	100;100;100;	NZ_AKVX01000001.1;NZ_AKVX01000001.1;NZ_AKVX01000001.1;	2105767-2107014;2103490-2104656;1999540-2001036;	1248;1167;1497;	v1.0 (11-03-2020)	-
GCF_000284495.1_ASM28449v1_genomic	-	O83	H1	O83:H1	-	Based on 3 allele(s)	wzx:0.999;wzy:0.999;fliC:1;	O83-1-wzx-origin;O83-2-wzy-origin;H1-1-fliC-origin;	99.931;99.919;100;	100;100;100;	NC_011993.1;NC_011993.1;NC_011993.1;	2127428-2128870;2126197-2127431;1963765-1965552;	1443;1236;1788;	v1.0 (11-03-2020)	-
GCF_000285655.3_EC958.v1_genomic	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	NZ_HG941718.1;NZ_HG941718.1;NZ_HG941718.1;	2307297-2308556;2304082-2305144;2096113-2097162;	1260;1063;1050;	v1.0 (11-03-2020)	-
GCF_000299255.1_ASM29925v1_genomic	-	O104	H4	O104:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O104-5-wzx-origin;O104-13-wzy;H4-2-fliC-origin;	100;100;100;	100;100;100;	NC_018650.1;NC_018650.1;NC_018650.1;	1939126-1940316;1936698-1937810;2085910-2086959;	1191;1113;1050;	v1.0 (11-03-2020)	-
GCF_000299455.1_ASM29945v1_genomic	-	O104	H4	O104:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O104-16-wzx;O104-13-wzy;H4-2-fliC-origin;	100;100;100;	100;100;100;	NC_018658.1;NC_018658.1;NC_018658.1;	1951085-1952275;1948657-1949769;2097870-2098919;	1191;1113;1050;	v1.0 (11-03-2020)	-
GCF_000299475.1_ASM29947v1_genomic	-	O104	H4	O104:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O104-5-wzx-origin;O104-13-wzy;H4-2-fliC-origin;	100;100;100;	100;100;100;	NC_018661.1;NC_018661.1;NC_018661.1;	1946816-1948006;1944388-1945500;2093600-2094649;	1191;1113;1050;	v1.0 (11-03-2020)	-
GCF_000332755.1_ASM33275v1_genomic	-	O78	H9	O78:H9	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O78-3-wzx;O78-6-wzy;H9-1-fliC-origin;	100;100;100;	100;100;100;	NC_020163.1;NC_020163.1;NC_020163.1;	2852710-2854125;2856852-2857973;2750255-2752267;	1416;1122;2013;	v1.0 (11-03-2020)	-
GCF_000464955.2_ASM46495v2_genomic	-	O104	H21	O104:H21	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O104-5-wzx-origin;O104-13-wzy;H21-12-fliC;	100;100;100;	100;100;100;	NZ_CP023541.1;NZ_CP023541.1;NZ_CP023541.1;	2938143-2939333;2940649-2941761;2819796-2821271;	1191;1113;1476;	v1.0 (11-03-2020)	-
GCF_000468515.1_ASM46851v1_genomic	-	O6	H49	O6:H49	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-15-wzx;O6-5-wzy-origin;H49-3-fliC;	100;100;100;	100;100;100;	NC_022364.1;NC_022364.1;NC_022364.1;	2189254-2190510;2187911-2189254;2089130-2090824;	1257;1344;1695;	v1.0 (11-03-2020)	-
GCF_000493595.2_EcoPMV1_genomic	-	O18	H7	O18:H7	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O18-6-wzx;O18-11-wzy;H7-3-fliC-origin;	100;99.916;100;	100;100;100;	NC_022370.1;NC_022370.1;NC_022370.1;	2248322-2249569;2247076-2248263;2028770-2030527;	1248;1189;1758;	v1.0 (11-03-2020)	-
GCF_000493755.1_ASM49375v1_genomic	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	NC_022648.1;NC_022648.1;NC_022648.1;	2308173-2309432;2304958-2306020;2099527-2100576;	1260;1063;1050;	v1.0 (11-03-2020)	-
GCF_000499485.1_MYMC4100_genomic	-	O16	H48	O16:H48	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;	100;100;100;	100;100;100;	NZ_HG738867.1;NZ_HG738867.1;NZ_HG738867.1;	1997290-1998537;1995013-1996179;1891063-1892559;	1248;1167;1497;	v1.0 (11-03-2020)	-
GCF_000520035.1_ASM52003v1_genomic	-	O145	-	O145:-	-	Based on 2 allele(s)	wzx:1;wzy:1;	O145-3-wzx-origin;O145-21-wzy;	100;100;	100;100;	NZ_CP006027.1;NZ_CP006027.1;	2639063-2640301;2637905-2639055;	1239;1151;	v1.0 (11-03-2020)	-
GCF_000520055.1_ASM52005v1_genomic	-	O145	-	O145:-	-	Based on 2 allele(s)	wzx:1;wzy:1;	O145-2-wzx-origin;O145-5-wzy-origin;	100;100;	100;100;	NZ_CP006262.1;NZ_CP006262.1;	2566738-2567976;2565543-2566730;	1239;1188;	v1.0 (11-03-2020)	-
GCF_000597845.1_ASM59784v1_genomic	-	O9	H30	O9:H30	-	Based on 3 allele(s)	wzm:1;wzt:0.999;fliC:1;	O9-14-wzm;O9-19-wzt;H30-1-fliC-origin;	100;99.923;100;	100;100;100;	NZ_CP007265.1;NZ_CP007265.1;NZ_CP007265.1;	3513620-3514405;3514408-3515703;3593860-3595572;	786;1296;1713;	v1.0 (11-03-2020)	-
GCF_000599625.1_ASM59962v1_genomic	-	O9	H30	O9:H30	-	Based on 3 allele(s)	wzm:1;wzt:0.999;fliC:1;	O9-14-wzm;O9-19-wzt;H30-1-fliC-origin;	100;99.923;100;	100;100;100;	NZ_CP007390.1;NZ_CP007390.1;NZ_CP007390.1;	1783851-1784636;1784639-1785934;1864091-1865803;	786;1296;1713;	v1.0 (11-03-2020)	-
GCF_000599645.1_ASM59964v1_genomic	-	O9	H30	O9:H30	-	Based on 3 allele(s)	wzm:1;wzt:0.999;fliC:1;	O9-14-wzm;O9-19-wzt;H30-1-fliC-origin;	100;99.923;100;	100;100;100;	NZ_CP007391.1;NZ_CP007391.1;NZ_CP007391.1;	1883638-1884423;1884426-1885721;1963878-1965590;	786;1296;1713;	v1.0 (11-03-2020)	-
GCF_000599665.1_ASM59966v1_genomic	-	-	H41	-:H41	-	Based on 1 allele(s)	fliC:0.99;	H41-1-fliC-origin;	98.869;	100;	NZ_CP007392.1;	2808512-2810191;	1680;	v1.0 (11-03-2020)	-
GCF_000599685.1_ASM59968v1_genomic	-	-	H41	-:H41	-	Based on 1 allele(s)	fliC:0.99;	H41-1-fliC-origin;	98.869;	100;	NZ_CP007393.1;	2800751-2802430;	1680;	v1.0 (11-03-2020)	-
GCF_000599705.1_ASM59970v1_genomic	-	-	H41	-:H41	-	Based on 1 allele(s)	fliC:0.99;	H41-1-fliC-origin;	98.869;	100;	NZ_CP007394.1;	2757013-2758692;	1680;	v1.0 (11-03-2020)	-
GCF_000618005.3_ASM61800v3_genomic	-	O157	H16	O157:H16	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O157-2-wzx-origin;O157-7-wzy-origin;H16-5-fliC-origin;	100;99.916;100;	100;100;100;	NZ_CP051001.1;NZ_CP051001.1;NZ_CP051001.1;	3802701-3804092;3804794-3805979;3605353-3606927;	1392;1186;1575;	v1.0 (11-03-2020)	-
